 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
Category,Have/Exclude,Component / Item,Qty ,Est. USD,Est. Total,Notes,Sources,,,,,,Additional Notes
LEDs,FALSE,24V 2835,1,$7.28,$7.28,,https://www.aliexpress.us/item/3256802169002555.html?spm=a2g0o.productlist.main.2.5d2336cc1wYQ0d&algo_pvid=89014c81-3ce2-435a-9e83-e064fb2ff1b4&algo_exp_id=89014c81-3ce2-435a-9e83-e064fb2ff1b4-1&pdp_ext_f=%7B%22order%22%3A%223998%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.41%212.79%21%21%213.41%212.79%21%402101d97817793041698124744ed164%2112000020281791019%21sea%21US%212824547957%21ACX%211%210%21n_tag%3A-29919%3Bd%3Abe15c8f0%3Bm03_new_user%3A-29894%3BpisId%3A5000000204885259&curPageLogUid=aFKuQChHYUUk&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002355317307%7C_p_origin_prod%3A#nav-specification,,,,,,
Wires,FALSE,22 AWG FEP wire,4,$2.67,$10.68,,https://www.aliexpress.us/item/2251832618202013.html,,,,,,
Wires,FALSE,16 AWG FEP wire,2,$6.49,$12.98,,https://www.aliexpress.us/item/2251832618202013.html,,,,,,
Sleeve,FALSE,PET sleeve 4mm,1,$5.09,$5.09,,https://www.aliexpress.us/item/2251832618202013.html,,,,,,
Sleeve,FALSE,PET sleeve 6mm,1,$6.34,$6.34,,https://www.aliexpress.us/item/2251832618202013.html,,,,,,
Connectors,FALSE,JST XH,1,$4.31,$4.31,,https://www.aliexpress.us/item/3256808432090471.html,,,,,,
Connectors,FALSE,Crimp Connectors,1,$7.84,$7.84,,https://www.aliexpress.us/item/3256809169357323.html,,,,,,
Crimper,FALSE,IWISS Crimper,1,$19.28,$19.28,,https://www.aliexpress.us/item/3256809419112769.html,,,,,,
,,,,,,,,,,,,,
,Parts Total(Shipping Included),,Tax,Total,,,,,,,,,
AliExpress,,$223.76,$17.90,$241.66,,,,,,,,,
Amazon,,$17.90,$1.43,$19.33,,,,,,,,,
Ebay,,$11.00,$0.88,$11.88,,,,,,,,,
Oshcut,,$215.12,$17.21,$232.33,,,,,,,,,
Misumi,,$89.40,$10.98,$100.38,,,,,,,,,
In3dtec,,$103.87,$8.31,$112.18,,,,,,,,,
Trianglelab,,$19.43,$1.55,$20.98,,,,,,,,,
Menards,,$14.15,$1.13,$15.28,,,,,,,,,
Microcenter,,$42.99,$3.44,$46.43,,,,,,,,,
JLCPCB(Sponsor),,$300.00,$24.00,$324.00,,,,,,,,,
Filastruder (Half Sponsor),,$78.76,$6.30,$85.06,,,,,,,,,
,,,,,,,,,,,,,
Total,"$1,209.52",,,,,,,,,,,,
